epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,8759.04,0.3257,0.66466,0.22559,0.24966,0.90035,0.99988,1,0.995,0.98868,0.99988,1,0.995,0.98658,0.20631,0.20703,0.15285,0.1737,0.79162,0.0002378,0.0002378,0.0002378
91,8882.52,0.22303,0.28225,0.14239,0.18347,0.8106,0.99988,1,0.995,0.98877,0.99988,1,0.995,0.97793,0.20072,0.21339,0.13985,0.1719,0.79159,0.000218,0.000218,0.000218
92,8994.93,0.21832,0.25807,0.12435,0.18127,0.8001,0.99989,1,0.995,0.99107,0.99989,1,0.995,0.98186,0.19067,0.21178,0.11966,0.17002,0.7933,0.0001982,0.0001982,0.0001982
93,9059.21,0.211,0.24751,0.11516,0.18176,0.80628,0.99988,1,0.995,0.99086,0.99988,1,0.995,0.98698,0.19178,0.19057,0.11056,0.17641,0.79105,0.0001784,0.0001784,0.0001784
94,9143.69,0.20422,0.24626,0.11044,0.18198,0.8028,0.99988,1,0.995,0.99089,0.99988,1,0.995,0.99004,0.19159,0.1881,0.10492,0.17812,0.7904,0.0001586,0.0001586,0.0001586
95,9204.72,0.20538,0.2351,0.10839,0.17982,0.80054,0.99988,1,0.995,0.99223,0.99988,1,0.995,0.98938,0.18892,0.18202,0.10202,0.17912,0.79141,0.0001388,0.0001388,0.0001388
96,9266.64,0.19873,0.22549,0.10661,0.17669,0.79631,0.99988,1,0.995,0.99283,0.99988,1,0.995,0.99244,0.18079,0.17757,0.10096,0.16461,0.78565,0.000119,0.000119,0.000119
97,9341.18,0.19792,0.21862,0.10491,0.17365,0.79676,0.99988,1,0.995,0.99247,0.99988,1,0.995,0.99242,0.18468,0.17163,0.09886,0.16216,0.78485,9.92e-05,9.92e-05,9.92e-05
98,9415.27,0.18943,0.21663,0.10425,0.16423,0.7911,0.99988,1,0.995,0.99322,0.99988,1,0.995,0.99341,0.17587,0.1718,0.09791,0.16339,0.78413,7.94e-05,7.94e-05,7.94e-05
99,9491.27,0.18686,0.20669,0.10404,0.16405,0.79306,0.99988,1,0.995,0.99363,0.99988,1,0.995,0.99277,0.17333,0.16765,0.09646,0.16155,0.78411,5.96e-05,5.96e-05,5.96e-05
100,9557.54,0.18239,0.20437,0.0994,0.15985,0.78932,0.99988,1,0.995,0.99369,0.99988,1,0.995,0.99405,0.16844,0.16167,0.09607,0.15627,0.78322,3.98e-05,3.98e-05,3.98e-05
